example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"My last savings is an acquisition of the Sincere Valley of New Zealand, and I'm now about five years old, and my own family has a special identity.",False,1000,4.084384918212891,0.15000000596046448,0.14962366223335266,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"Today, 6 miles away from the rainy season, the road is as good as the previous season as the early early first season. Today, the RGP is going up for the first flight, so it's just a separate rainy season.",False,1000,3.8686158657073975,0.15000000596046448,0.1495700627565384,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"I will 40 years do not have to part with the whole world of the last year. I trust all of them and all the doctors. So don't rush the failures in history, but they will be easy.",False,1000,4.442958831787109,0.15000000596046448,0.14946317672729492,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,The earth's meaning of the time that you need a more of a faster speed limit. All kinds of the gravity of the moon. It's a dream that can make me realize that.,False,1000,4.744597434997559,0.15000000596046448,0.14941759407520294,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,"The only duo has the 8th of a 3 in the 1st place, the 6th power of the 3rd place, and the top 4 is the 1st one.",False,1000,5.063514232635498,0.15000000596046448,0.1495177149772644,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"While it's just dry, we're going to bring it to a full of first-level areas in the future. We'll just bring it to a very complex, and a complete sharing of dry and dry and colorful structures.",False,1000,3.9080681800842285,0.15000000596046448,0.14952850341796875,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"Watch me, girls. I'll be the boy that I'm going to be the head of the lake. And for those two species we'll be watching your first-class adventures in Mama's Sofari.",False,1000,4.646912574768066,0.15000000596046448,0.1494271606206894,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The DZL has a 100-dollar system that cleanses the system for a high-level violence, and that is a free-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the-fans-of-the",False,1000,3.987598419189453,0.15000000596046448,0.14926183223724365,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,The wind has touched the sky to watch the wind start to reach up to the green light and the wind is going through the green sky.,False,1000,4.6701273918151855,0.15000000596046448,0.14943541586399078,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The water is very cold, so it's very cold.",False,1000,4.524810791015625,0.15000000596046448,0.1494469940662384,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1
