example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,The most beautiful city of the United States is the city of the United States. It is a beautiful city. It is a beautiful city. It is a beautiful city. It is a beautiful city.,False,100,3.4597411155700684,0.15000000596046448,0.1494148224592209,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"language, despite any of you who are currently from other countries, and the aliens are in soy sauce, they are not too busy going up to the pool and they are still in soy sauce.",False,100,2.4613611698150635,0.15000000596046448,0.14953486621379852,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"While the Earth is ready, the human ought to be caught with the Earth's human destiny. After all, if an animal dies, the Earth will come to us and bury us in peace and peace with the deadly religious wars.",False,100,3.0655441284179688,0.15000000596046448,0.14953429996967316,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,"See if you can blow it and you will get more down to the top of the hill. Out of criticism will have no fear. From the holy point of coming as one,",False,100,3.2228167057037354,0.15000000596046448,0.14956918358802795,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,Final D-1 is the A-1 that is the only thing I know. The D-1 is the one that is part of the series. It's the D-1 that is the only way to get the D-1.,False,100,4.524204254150391,0.15000000596046448,0.1497420072555542,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"Now put lunches through these four schools in the lunches. But, it's wrong that three people are just playing with these four schools, joking and you're punished for it.",False,100,2.736888885498047,0.15000000596046448,0.14952537417411804,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"The more leader are wanting to boyage his history, the more successful and interesting stories for his works in the same direction I will show you.",False,100,2.538518190383911,0.15000000596046448,0.14946803450584412,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The DZNC has a total of 24,000,000 vehicles that are now in the wild, and the DZNC has been in place for 12 years.",False,100,3.6521317958831787,0.15000000596046448,0.14940416812896729,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,The moon that's practically just done is walking through the two-and-spot shipments to bring to us the key of the 8th and 8th-century peace talker.,False,100,4.411976337432861,0.15000000596046448,0.14942732453346252,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The road is very steep, but the road is very steep, so it's a bit steep.",False,100,4.031272888183594,0.15000000596046448,0.14960713684558868,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
10,FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH,HE WAS STILL SUFFERING FROM THIS SUDDEN DISTURBANCE OF THE QUIET ROUTINE OF HIS LIFE,"This is the first time I've ever seen a barbershop star in the history of the new Olympic Games, which is a project by the Southern Front of South Korea.",False,100,2.061445951461792,0.15000000596046448,0.14950577914714813,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0005.flac,5105-28241-0005,0.15,stage1,
11,BY THIS TIME THE TWO GENTLEMEN HAD REACHED THE PALINGS AND HAD GOT DOWN FROM THEIR HORSES IT WAS PLAIN THEY MEANT TO COME IN,SEE THAT YOUR LIVES BE IN NOTHING WORSE THAN A BOY'S CLIMBING FOR HIS ENTANGLED KITE,Augusta's next season is KENB's new dance and the next season is the last year.,False,100,5.230227947235107,0.15000000596046448,0.14889363944530487,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0043.flac,2094-142345-0043,0.15,stage1,
12,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,WHEN CALLED BEFORE I TOLD HOW HASTILY I DROPPED MY FLOWERS OR BRAKE OFF FROM A GAME,"Lankar's dog is held at the Wilbur Street by sonnet Pai Nai Dalai. He's literally designed Lord's hair with a jerk, and a drop in the front of his nose during the day.",False,100,3.162158489227295,0.15000000596046448,0.149447500705719,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0019.flac,1320-122617-0019,0.15,stage1,
13,I GREATLY MOURN THAT ONE SO WELL DISPOSED SHOULD DIE IN HIS IGNORANCE AND I HAVE SOUGHT A GOODLY HYMN CAN YOU LEAD ME TO HIM,DEPARTING FROM FIVE HUNDRED THOUSAND THROATS THREE CHEERS BURST FORTH IN SUCCESSION,"I'd like to know more about the four roads before we split the line of the W and our total is 1,500. So we are going to do what we still have.",False,100,4.280632019042969,0.15000000596046448,0.14953701198101044,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0009.flac,1320-122617-0009,0.15,stage1,
