example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history,reason
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,And more freedom words in the properly seated performance. The last theater there is also for comfort words of encouragement. We can now do the counter-significant and the correct way.,False,-1,10.540325164794922,0.10000002384185791,0.06649181991815567,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.100000024,stage1,,
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,down this male comes low as a hundred tons of fuel. Whether it's an R or a meal for seven days or a hundred minutes or so.,False,-1,10.12894058227539,0.10000002384185791,0.06634595990180969,stage1,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.100000024,stage1,,
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1,,impossible_target
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,We're arriving at home in my room right now. My car on the darkened hill makes people really come back.,False,-1,9.619606971740723,0.10000002384185791,0.06655146181583405,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.100000024,stage1,,
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I'll use your finger to go out and you will electable down to the end of the world.,False,-1,9.389586448669434,0.10000002384185791,0.06633826345205307,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.100000024,stage1,,
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,"All the Royal Declare bearing, the poor health would sit to ensure fibre can have an acidity.",False,-1,10.964829444885254,0.10000002384185791,0.06645221263170242,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.100000024,stage1,,
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1,,impossible_target
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,I think the damn time to rethink the case.,False,-1,10.28377914428711,0.10000002384185791,0.06595710664987564,stage1,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.100000024,stage1,,
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,Thank you.,False,-1,10.159399032592773,0.10000002384185791,0.06581903994083405,stage1,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.100000024,stage1,,
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,The,False,-1,11.723699569702148,0.10000002384185791,0.06654179841279984,stage1,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.100000024,stage1,,
