example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,reason,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,The moor ocean is entaged in repelthurgutra's first. The blood is needed for the water to wear shaleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-haleigh-hale,False,-1,15.994219779968262,0.050000011920928955,0.028457628563046455,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.050000012,stage1,,
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.0,stage1,impossible_target,
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1,impossible_target,
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,"because we cornered a rather new at Rome and ran in anyways the new day. But don't care about them that are still along your stools with Lee Taylor again, stop number 5.",False,-1,14.342337608337402,0.050000011920928955,0.028311992064118385,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.050000012,stage1,,
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,"to know what things were. I do look at the welms, certainly the next to the about them was more checkered.",False,-1,14.9656343460083,0.050000011920928955,0.02835734188556671,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.050000012,stage1,,
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,The floor of Councillors sits Ms. Raltman's not around to the—,False,-1,14.286458015441895,0.050000011920928955,0.027968907728791237,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.050000012,stage1,,
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1,impossible_target,
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,"of the man and third into the thumbrans. She is by she leaps from, for example, of adjus.",False,-1,18.069786071777344,0.050000011920928955,0.028358353301882744,stage1,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.050000012,stage1,,
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,"We've wired help to test them are all the inactive swivel three, do you know what I'm saying?",False,-1,14.31943130493164,0.050000011920928955,0.0287165604531765,stage1,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.050000012,stage1,,
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,where I'd be recorbs to go to the quorum which is the modem times the truth is subs.,False,-1,18.23104476928711,0.050000011920928955,0.02827749401330948,stage1,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.050000012,stage1,,
