example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,reason,iteration_history,audio_file,audio_name,stage1_distortion,final_stage
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.0,stage1
1,DOUBTS NOW AROSE AND SOME DISCUSSION FOLLOWED WHETHER OR NOT IT WAS DESIRABLE FOR BEN ZOOF TO ACCOMPANY HIS MASTER,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,"Down to now arose. This is something that's not being followed. Whether or not it's his heirloom or Ben the Jew's, it's not something that's not being passed.",False,-1,9.994437217712402,0.050000011920928955,0.03343712165951729,stage1,,,LibriSpeech/test-clean/5105/28240/5105-28240-0024.flac,5105-28240-0024,0.050000012,stage1
2,BUT THE AFFAIR WAS MAGNIFIED AS A CROWNING PROOF THAT THE FREE STATE MEN WERE INSURRECTIONISTS AND OUTLAWS,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/7729/102255/7729-102255-0021.flac,7729-102255-0021,0.0,stage1
3,ON ARRIVING AT HOME AT MY OWN RESIDENCE I FOUND THAT OUR SALON WAS FILLED WITH A BRILLIANT COMPANY,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,"I'm kinda rising at home at my own university because there are no other small moments, girls, we're just in trouble.",False,-1,9.969146728515625,0.050000011920928955,0.03318559005856514,stage1,,,LibriSpeech/test-clean/8455/210777/8455-210777-0002.flac,8455-210777-0002,0.050000012,stage1
4,NO THANK YOU I'LL JUST LOOK AT THE WHELPS AND LEAVE A MESSAGE ABOUT THEM WITH YOUR SHEPHERD,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I'll just look at the world.,False,-1,10.043167114257812,0.050000011920928955,0.03343808278441429,stage1,,,LibriSpeech/test-clean/2094/142345/2094-142345-0051.flac,2094-142345-0051,0.050000012,stage1
5,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,THE REAL HUMAN DIVISION IS THIS THE LUMINOUS AND THE SHADY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/6829/68769/6829-68769-0024.flac,6829-68769-0024,0.0,stage1
6,MARY TAYLOR HOWEVER RELATED THE TALE OF ZORA TO MISSUS GREY'S PRIVATE EAR LATER,THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/1995/1836/1995-1836-0013.flac,1995-1836-0013,0.0,stage1
7,THE MAN ENTERED AND TOOK THE PAPERS SHEET BY SHEET FROM THE CENTRAL TABLE,HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY,"The man ends up coming to the snake denist, she's quite sheet from the two of us.",False,-1,10.031911849975586,0.050000011920928955,0.03316741809248924,stage1,,,LibriSpeech/test-clean/1580/141083/1580-141083-0025.flac,1580-141083-0025,0.050000012,stage1
8,THE SQUIRE HELPED TO THRUST THEM ALL IN AND ENTERED SWIFTLY HIMSELF,WHY ARE WE TO BE DENIED EACH OTHER'S SOCIETY,This wire helps to compress the ball wind and the counter-desert very easily to allow it to fall.,False,-1,10.464725494384766,0.050000011920928955,0.033286843448877335,stage1,,,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,61-70968-0029,0.050000012,stage1
9,WERE I IN THE WARM ROOM WITH ALL THE SPLENDOR AND MAGNIFICENCE,I SUPPOSE THAT'S THE WET SEASON TOO THEN,"We're all in the world with all the school I've been doing that I do, I do this for six.",False,-1,11.765533447265625,0.050000011920928955,0.033047135919332504,stage1,,,LibriSpeech/test-clean/672/122797/672-122797-0015.flac,672-122797-0015,0.050000012,stage1
