example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"The more 3-0, the faster you use it, the more you can use it, the more you can use it, the more you can use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you use it, the more you",False,1000,3.2876222133636475,0.15000000596046448,0.14980831742286682,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"Andrew, this mountain is where you enjoy the installers you test. You can really enjoy everything. You can go out and learn how to breathe in and go out with your swimming. It's a great experience.",False,1000,2.8148889541625977,0.15000000596046448,0.14967167377471924,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"Although the credit of the Niyada to have the book on the left face, I am just a rather normal and enthusiastic person to tell you that it's a very interesting story to tell your research.",False,1000,3.1431591510772705,0.15000000596046448,0.14975671470165253,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,The Earth's most powerful and powerful land is the Earth's most powerful land.,False,1000,4.626108646392822,0.15000000596046448,0.1490657776594162,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,Final grade has a bit of a challenge to do. The few projects that were having a party to try to make up for the only race they had.,False,1000,3.2791342735290527,0.15000000596046448,0.14977294206619263,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,The foot block is where you can see the first piece of the line that has been drawn in a very complex and mature jump in the end of summer.,False,1000,3.072068452835083,0.15000000596046448,0.14971669018268585,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,"The most new during development of the Boy Andrews game is the October 12th, with the new winners in 40th place in the same amount of silence.",False,1000,3.359351396560669,0.15000000596046448,0.14943601191043854,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,"The day's new news that this morning was released, we did best to have a wonderful morning, quiet and prepared for the history of the dance of the British colony.",False,1000,3.513247013092041,0.15000000596046448,0.14967826008796692,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,"Good luck for our safety, Jackson. Watch the wind and wind pressure to the brain.",False,1000,2.8608639240264893,0.15000000596046448,0.14969629049301147,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"The water is very strong, and the water is very strong.",False,1000,4.294445991516113,0.15000000596046448,0.14943814277648926,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
