example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history,reason
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,"The norm to legally be within this constant interest of the public, but it's an energy-based strategy to the house of the public. And we can now do this for you.",False,-1,10.959392547607422,0.15000000596046448,0.09950272738933563,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,the,False,-1,11.46511459350586,0.15000000596046448,0.09990827739238739,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,The food is very good.,False,-1,11.238998413085938,0.15000000596046448,0.09979959577322006,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.0,stage1,,impossible_target
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,One of these works is printed to fill in the room with the paper. It takes you while the paper is still there. It's totally wet and the paper is not covered in paper.,False,-1,11.218557357788086,0.15000000596046448,0.1000370979309082,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.0,stage1,,impossible_target
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,I'm,False,-1,11.91202163696289,0.15000000596046448,0.09969167411327362,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,to the Sanctuary and Cameroon. Here it's meant to be the specific place to tell the Cigar Resort in the CN4 area in the Sanctuary.,False,-1,10.459368705749512,0.15000000596046448,0.09982649981975555,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.0,stage1,,impossible_target
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,Thank you for your seat.,False,-1,10.809253692626953,0.15000000596046448,0.10013580322265625,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,,
0,FOR A FEW MILES SHE FOLLOWED THE LINE HITHERTO PRESUMABLY OCCUPIED BY THE COAST OF ALGERIA BUT NO LAND APPEARED TO THE SOUTH,HE WAS STILL SUFFERING FROM THIS SUDDEN DISTURBANCE OF THE QUIET ROUTINE OF HIS LIFE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0005.flac,5105-28241-0005,0.0,stage1,,impossible_target
1,BY THIS TIME THE TWO GENTLEMEN HAD REACHED THE PALINGS AND HAD GOT DOWN FROM THEIR HORSES IT WAS PLAIN THEY MEANT TO COME IN,SEE THAT YOUR LIVES BE IN NOTHING WORSE THAN A BOY'S CLIMBING FOR HIS ENTANGLED KITE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0043.flac,2094-142345-0043,0.0,stage1,,impossible_target
2,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,WHEN CALLED BEFORE I TOLD HOW HASTILY I DROPPED MY FLOWERS OR BRAKE OFF FROM A GAME,the,False,-1,12.086617469787598,0.15000000596046448,0.10026427358388901,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0019.flac,1320-122617-0019,0.15,stage1,,
3,I GREATLY MOURN THAT ONE SO WELL DISPOSED SHOULD DIE IN HIS IGNORANCE AND I HAVE SOUGHT A GOODLY HYMN CAN YOU LEAD ME TO HIM,DEPARTING FROM FIVE HUNDRED THOUSAND THROATS THREE CHEERS BURST FORTH IN SUCCESSION,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0009.flac,1320-122617-0009,0.0,stage1,,impossible_target
4,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS,THEN SAID SIR FERDINANDO THERE IS NOTHING FOR IT BUT THAT HE MUST TAKE YOU WITH HIM,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac,1089-134691-0023,0.0,stage1,,impossible_target
5,THAT EVENING TROT GAVE A GRAND BALL IN THE PALACE TO WHICH THE MOST IMPORTANT OF THE PINKIES AND THE BLUESKINS WERE INVITED,THE MILITARY FORCE PARTLY RABBLE PARTLY ORGANIZED HAD MEANWHILE MOVED INTO THE TOWN,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/8555/284449/8555-284449-0019.flac,8555-284449-0019,0.0,stage1,,impossible_target
6,BUT YOUR POWER IS SO SUPERIOR TO ANY THAT I CAN ADVANCE AS TO MAKE US HERE FEEL THAT THERE IS NO DISGRACE IN YIELDING TO IT,UPON THIS MADAME DEIGNED TO TURN HER EYES LANGUISHINGLY TOWARDS THE COMTE OBSERVING,"According to the tower, we're swissed the spiel of those recipients of the outcome of the narrative. Open then, transfer to those p-l-m-w, so they'll have more of the spiel of those recipients.",False,-1,11.11416244506836,0.15000000596046448,0.09998191893100739,stage1,LibriSpeech/test-clean/8455/210777/8455-210777-0033.flac,8455-210777-0033,0.15,stage1,,
7,THAT SUMMER'S EMIGRATION HOWEVER BEING MAINLY FROM THE FREE STATES GREATLY CHANGED THE RELATIVE STRENGTH OF THE TWO PARTIES,TABLES WERE SPREAD ON THE LAWN AND A DAINTY BUT SUBSTANTIAL REPAST WAS TO BE SERVED,"So the best thing to do is to go in the middle of the lake, and then they can actually do it. When you're wearing normal car suspension, it's great to use your tongue used to have the order to go in the middle of the lake.",False,-1,10.956916809082031,0.15000000596046448,0.10006476193666458,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0002.flac,7729-102255-0002,0.15,stage1,,
8,A FRESH WHOLESOME LOOKING BOY WAS TOM GATES WITH STEADY GRAY EYES AN INTELLIGENT FOREHEAD BUT A SENSITIVE RATHER WEAK MOUTH,DON'T YOU KNOW ONE ABOUT BACON AND TALLOW CANDLES CAN'T YOU TELL ANY LARDER STORIES,"across the 14 of 2 square root of the sky to work for it. This is the standard we're all doing, the solution by the two of 2 square root of the sky.",False,-1,11.132461547851562,0.15000000596046448,0.09997233748435974,stage1,LibriSpeech/test-clean/6829/68769/6829-68769-0021.flac,6829-68769-0021,0.15,stage1,,
9,SHE SPOKE WITH A SUDDEN ENERGY WHICH PARTOOK OF FEAR AND PASSION AND FLUSHED HER THIN CHEEK AND MADE HER LANGUID EYES FLASH,WHEREUPON LAKE LAUGHED QUIETLY STILL LOOKING ON THE ACE OF HEARTS WITH HIS SLY EYES,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5683/32879/5683-32879-0011.flac,5683-32879-0011,0.0,stage1,,impossible_target
0,THERE IN THE CEDAR HOLLOW THEN LIVED OLIVE LORD AN ANGRY RESENTFUL LITTLE CREATURE WEIGHED DOWN BY A FIERCE SENSE OF INJURY,AMBROSE MET ME AT THE BOTTOM OF THE STAIRS AND SHOWED ME THE WAY TO THE SUPPER ROOM,"So, if you're going to have a problem with the number of the numbers, you can see that there's more than a particular number of zeroes. So, if you're going to have a problem with zero, you can see that there's more than a particular number of zeroes.",False,-1,10.035097122192383,0.15000000596046448,0.10033860802650452,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0018.flac,4992-41797-0018,0.15,stage1,,
1,MISTER POPHAM EXAGGERATED NOTHING BUT ON THE CONTRARY LEFT MUCH UNSAID IN HIS NARRATIVE OF THE FAMILY AT THE HOUSE OF LORDS,IS IT NOT IMPOSSIBLE HE MURMURED ALOUD THAT ANY CITY SHOULD DISAPPEAR SO COMPLETELY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0008.flac,4992-41797-0008,0.0,stage1,,impossible_target
2,OF COURSE HE REFLECTED SHE ALWAYS HAD THAT COMBINATION OF SOMETHING HOMELY AND SENSIBLE AND SOMETHING UTTERLY WILD AND DAFT,TRUE HISTORY BEING A MIXTURE OF ALL THINGS THE TRUE HISTORIAN MINGLES IN EVERYTHING,This is a place where the source provides some skin. This cleanser covers the surface of the door and the surface is in some sense.,False,-1,10.843720436096191,0.15000000596046448,0.10057786107063293,stage1,LibriSpeech/test-clean/4446/2271/4446-2271-0020.flac,4446-2271-0020,0.15,stage1,,
3,EVERYTHING HE HAS DONE HAS BEEN AIMED AT THE CONSERVATION OF ENERGY THE CONTRACTION OF SPACE THE INTENSIFICATION OF CULTURE,BARTLEY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0008.flac,2300-131720-0008,0.0,stage1,,impossible_target
4,SHE HAD BEEN BORN WITHIN ITS BORDERS WITHIN ITS BORDERS SHE HAD LIVED AND GROWN AND WITHIN ITS BORDERS SHE HAD MET HER LOVE,THEY ASKED HIM TO COME TO SEE THEM IN CHELSEA AND THEY SPOKE VERY TENDERLY OF HILDA,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1837/1995-1837-0026.flac,1995-1837-0026,0.0,stage1,,impossible_target
5,HERE SHE WAS TEACHING DIRTY CHILDREN AND THE SMELL OF CONFUSED ODORS AND BODILY PERSPIRATION WAS TO HER AT TIMES UNBEARABLE,AS USED IN THE SPEECH OF EVERYDAY LIFE THE WORD CARRIES AN UNDERTONE OF DEPRECATION,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/1995/1826/1995-1826-0011.flac,1995-1826-0011,0.0,stage1,,impossible_target
6,TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT,PAUL DECLARES THAT THE FALSE APOSTLES WERE CALLED OR SENT NEITHER BY MEN NOR BY MAN,"So, I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so I was just going to go to the very little thing, so",False,-1,11.738438606262207,0.15000000596046448,0.10033034533262253,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0019.flac,7729-102255-0019,0.15,stage1,,
7,WOMEN CAN HIDE THEIR PAIN BETTER THAN WE MEN AND BEAR IT BETTER TOO EXCEPT WHEN SHAME DROPS FIRE INTO THE DREADFUL CHALICE,I TAKE THIS AS MY ANSWER AND I LEAVE THE PROFESSOR TO BITE HIS LIPS WITH IMPATIENCE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5683/32879/5683-32879-0003.flac,5683-32879-0003,0.0,stage1,,impossible_target
8,RALPH THURSTON HAD FOUND A LINE OF LATIN FOR THEM IN HIS BELOVED HORACE TIBI SPLENDET FOCUS FOR YOU THE HEARTH FIRE SHINES,I ENTERED AND I TOOK YOU INTO MY CONFIDENCE AS TO THE SUGGESTIONS OF THE SIDE TABLE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/4992/41806/4992-41806-0006.flac,4992-41806-0006,0.0,stage1,,impossible_target
9,WHEN SHE COULD NOT MAKE A RABBIT OR A BIRD LOOK REAL ON PAPER SHE SEARCHED IN HER FATHER'S BOOKS FOR PICTURES OF ITS BONES,SOMETIMES IT IS CALLED A CRAZY QUILT BECAUSE THE PATCHES AND COLORS ARE SO MIXED UP,The,False,-1,10.330446243286133,0.15000000596046448,0.10013171285390854,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0014.flac,4992-41797-0014,0.15,stage1,,
0,THE QUESTION IS WHICH OF THE TWO METHODS WILL MOST EFFECTIVELY REACH THE PERSONS WHOSE CONVICTIONS IT IS DESIRED TO AFFECT,IT WASN'T SIMPLY THAT SHE SAID SO BUT THAT I KNEW SHE HADN'T I WAS SURE I COULD SEE,"it once can aid to support the president in equation. So if you're going to be deployed to answer to the questions that they can ask, they can help you.",False,-1,9.688481330871582,0.15000000596046448,0.09994981437921524,stage1,LibriSpeech/test-clean/3570/5695/3570-5695-0008.flac,3570-5695-0008,0.15,stage1,,
1,NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INCUR,HE STOOD STILL IN DEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS,I,False,-1,9.551789283752441,0.15000000596046448,0.1001683697104454,stage1,LibriSpeech/test-clean/1320/122617/1320-122617-0000.flac,1320-122617-0000,0.15,stage1,,
2,AT THE FOOT OF THE MOUNTAIN THAT SEPARATED THE COUNTRY OF THE MUNCHKINS FROM THE COUNTRY OF THE GILLIKINS THE PATH DIVIDED,MUSSULMANS AND GIAOURS THROW KERCHIEFS AT A SMILE AND HAVE NO RUTH FOR ANY WEEPING,The,False,-1,10.164789199829102,0.15000000596046448,0.10009198635816574,stage1,LibriSpeech/test-clean/1284/1180/1284-1180-0006.flac,1284-1180-0006,0.15,stage1,,
3,A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZEWRAPPED CITY,THIS SHE SAID WAS TRUE HOSPITALITY AND I AM NOT SURE THAT I DID NOT AGREE WITH HER,"and one way through to Penalysis, which he tells his intelligence in the Indian Institute of the U.D. is that 10 of these are still in light with 40, because we didn't have the percentage of these long-term measures in the current situation.",False,-1,9.74234676361084,0.15000000596046448,0.10028034448623657,stage1,LibriSpeech/test-clean/1089/134691/1089-134691-0025.flac,1089-134691-0025,0.15,stage1,,
4,HE PLANTED A COMPANY BEFORE THE HOTEL AND DEMANDED A SURRENDER OF THE ARMS BELONGING TO THE FREE STATE MILITARY COMPANIES,MY WIFE ON THE SPUR OF THE MOMENT MANAGED TO GIVE THE GENTLEMEN A VERY GOOD DINNER,Thank you.,False,-1,10.567896842956543,0.15000000596046448,0.0998094230890274,stage1,LibriSpeech/test-clean/7729/102255/7729-102255-0036.flac,7729-102255-0036,0.15,stage1,,
5,IN THE OLD BADLY MADE PLAY IT WAS FREQUENTLY NECESSARY FOR ONE OF THE CHARACTERS TO TAKE THE AUDIENCE INTO HIS CONFIDENCE,THE FIRST OF OUR VAGUE BUT INDUBITABLE DATA IS THAT THERE IS KNOWLEDGE OF THE PAST,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/7176/92135/7176-92135-0017.flac,7176-92135-0017,0.0,stage1,,impossible_target
6,FOR A MOMENT BETH STOOD STARING WHILE THE NEW MAID REGARDED HER WITH COMPOSURE AND A SLIGHT SMILE UPON HER BEAUTIFUL FACE,HE CONTINUED HIS PRETENDED SEARCH AND TO GIVE COLOR TO HIS ERRAND MADE TWO ARRESTS,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/6829/68771/6829-68771-0018.flac,6829-68771-0018,0.0,stage1,,impossible_target
7,RODOLFO ARRIVED AT HIS OWN HOUSE WITHOUT ANY IMPEDIMENT AND LEOCADIA'S PARENTS REACHED THEIRS HEART BROKEN AND DESPAIRING,LORD JOHN TAKING OUT GOLD CIGARETTE CASE FROM HIS LEFT HAND UPPER WAISTCOAT POCKET,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5639/40744/5639-40744-0006.flac,5639-40744-0006,0.0,stage1,,impossible_target
8,SHE'S WONDERFUL MORE WONDERFUL THAN ANYBODY WE'VE EVER SEEN ANYWHERE AND SHE DRAWS BETTER THAN THE TEACHER IN CHARLESTOWN,WELL SAID MADEMOISELLE DE TONNAY CHARENTE I ALSO THINK A GOOD DEAL BUT I TAKE CARE,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/4992/41797/4992-41797-0021.flac,4992-41797-0021,0.0,stage1,,impossible_target
9,THE SIGHT OF YOU BARTLEY TO SEE YOU LIVING AND HAPPY AND SUCCESSFUL CAN I NEVER MAKE YOU UNDERSTAND WHAT THAT MEANS TO ME,HERS HAPPENED TO BE IN THE SAME FRAME TOO BUT SHE EVIDENTLY DIDN'T CARE ABOUT THAT,The site is located in the area where the site is located.,False,-1,10.037400245666504,0.15000000596046448,0.10009068250656128,stage1,LibriSpeech/test-clean/4446/2275/4446-2275-0040.flac,4446-2275-0040,0.15,stage1,,
0,THIS SENTENCE ALSO DEFINES OUR SINS AS GREAT SO GREAT IN FACT THAT THE WHOLE WORLD COULD NOT MAKE AMENDS FOR A SINGLE SIN,THUS IT IS THAT THE HONOR OF THREE IS SAVED OUR COUNTRY'S OUR MASTER'S AND OUR OWN,"And this points the alpha-the-coil is mostly metal, but it's the greatest of the day. So there was a military apparatus. But the coiled coal is a bit not something that can be used to rest in order to move.",False,-1,10.46135425567627,0.15000000596046448,0.09964872896671295,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0067.flac,2830-3980-0067,0.15,stage1,,
1,DID EVER ANYBODY SEE THE LIKE SCREAMED MISSUS POYSER RUNNING TOWARDS THE TABLE WHEN HER EYE HAD FALLEN ON THE BLUE STREAM,ELIZA CLOSED THE DOOR BEHIND HER WITH A DECIDED SLAM AND A KEY CLICKED IN THE LOCK,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/2094/142345/2094-142345-0029.flac,2094-142345-0029,0.0,stage1,,impossible_target
2,HE KNEW IT WOULD TAKE THEM TO THE HOUSE OF THE CROOKED MAGICIAN WHOM HE HAD NEVER SEEN BUT WHO WAS THEIR NEAREST NEIGHBOR,ROBIN CAREFULLY DESCENDED THE LADDER AND FOUND HIMSELF SOON UPON FIRM ROCKY GROUND,The,False,-1,9.65417766571045,0.15000000596046448,0.09981247782707214,stage1,LibriSpeech/test-clean/1284/1180/1284-1180-0007.flac,1284-1180-0007,0.15,stage1,,
3,THE FIRST OF THESE TOUCHES CONVEYED THAT THE WRITTEN STATEMENT TOOK UP THE TALE AT A POINT AFTER IT HAD IN A MANNER BEGUN,THERE WAS NO CHANCE TO ALTER HIS SLEEPING ROOM TO ONE NEARER TO GAMEWELL'S CHAMBER,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/121/127105/121-127105-0026.flac,121-127105-0026,0.0,stage1,,impossible_target
4,NEVER DID HE OBJECT TO BUCKLING UP HIS SUITCASE FOR ANY COUNTRY WHATEVER CHINA OR THE CONGO NO MATTER HOW FAR OFF IT WAS,HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/8463/294828/8463-294828-0010.flac,8463-294828-0010,0.0,stage1,,impossible_target
5,AMONG OTHER THINGS ON WHICH SHE CAST HER EYES WAS A SMALL CRUCIFIX OF SOLID SILVER STANDING ON A CABINET NEAR THE WINDOW,YOU ARE A WORTHY LEECH WILL PRESENTLY WHISPERED ROBIN THE WINE HAS WORKED A MARVEL,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,LibriSpeech/test-clean/5639/40744/5639-40744-0014.flac,5639-40744-0014,0.0,stage1,,impossible_target
