example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,reason,iteration_history,audio_file,audio_name,stage1_distortion,final_stage
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.0,stage1
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.0,stage1
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.0,stage1
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,The video contains the designers to be leaving with the Whitford trumpet. This is also the mobile way to do this. Whitford's door hands with holding together.,False,-1,9.514327049255371,0.15000000596046448,0.09993521869182587,stage1,,,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,This is the only way to open these windows for the police to come to an end. This is held in the middle of the town of the central district. This is the only way to open these windows for the police to come to an end.,False,-1,10.78165340423584,0.15000000596046448,0.10001739114522934,stage1,,,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,I'm going to go back to the hospital.,False,-1,10.67284107208252,0.15000000596046448,0.09989651292562485,stage1,,,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,The,False,-1,11.667584419250488,0.15000000596046448,0.09951741993427277,stage1,,,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,The,False,-1,10.907017707824707,0.15000000596046448,0.10011767596006393,stage1,,,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,[IMPOSSIBLE - inf/nan loss],False,-999,inf,0.0,0.0,stage1,impossible_target,,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.0,stage1
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,"You can go to the hall and it's like if you're forced to let your suspect drink and suicide. It's a normal situation. It's like if you're not going to drink, you're done. You have to go to the suspect. Okay.",False,-1,9.913021087646484,0.15000000596046448,0.10029805451631546,stage1,,,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1
