example_idx,original_text,target_text,final_text,success,success_iteration,final_loss,max_perturbation,mean_perturbation,stage,audio_file,audio_name,stage1_distortion,final_stage,iteration_history
0,THE MORE SHE IS ENGAGED IN HER PROPER DUTIES THE LESS LEISURE WILL SHE HAVE FOR IT EVEN AS AN ACCOMPLISHMENT AND A RECREATION,OLD WILL IS A FINE FELLOW BUT POOR AND HELPLESS SINCE MISSUS ROGERS HAD HER ACCIDENT,More green bricks are also used to make a scene like a music video. It's like a music video. I know I need to go to the camera and get ready to do it.,False,100,7.098840713500977,0.15000000596046448,0.14943531155586243,stage1,LibriSpeech/test-clean/3575/170457/3575-170457-0013.flac,3575-170457-0013,0.15,stage1,
1,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,THE WOOD FLAMED UP SPLENDIDLY UNDER THE LARGE BREWING COPPER AND IT SIGHED SO DEEPLY,"Oh, the panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking panooking",False,100,5.023719787597656,0.15000000596046448,0.14949622750282288,stage1,LibriSpeech/test-clean/2961/960/2961-960-0020.flac,2961-960-0020,0.15,stage1,
2,ALTHOUGH THE BRETHREN WITH ME ARE NOT APOSTLES LIKE MYSELF YET THEY ARE ALL OF ONE MIND WITH ME THINK WRITE AND TEACH AS I DO,I WOULD FAIN KNOW IF I AM DESTINED FOR SO GLORIOUS A CAREER CRIED THE TREE REJOICING,"While blitz weathering with the neon of the poppy-dance number blacklight, the dreadful roll is only in the evening. The carrier, the air is equipped with any brake license.",False,100,4.884695529937744,0.15000000596046448,0.148962140083313,stage1,LibriSpeech/test-clean/2830/3980/2830-3980-0029.flac,2830-3980-0029,0.15,stage1,
3,HE OBTAINED THE DESIRED SPEED AND LOAD WITH A FRICTION BRAKE ALSO REGULATOR OF SPEED BUT WAITED FOR AN INDICATOR TO VERIFY IT,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS A WAY DOWN TO THE COURT FROM MY WINDOW,Viewers may need to go to the hall to see a room on the Earth for the first time. All the rooms are covered in debris. Those rooms are in the corner of the lounge.,False,100,4.948301315307617,0.15000000596046448,0.14959651231765747,stage1,LibriSpeech/test-clean/2300/131720/2300-131720-0015.flac,2300-131720-0015,0.15,stage1,
4,THERE MAY BE A SPECIFIC FEELING WHICH COULD BE CALLED THE FEELING OF PASTNESS ESPECIALLY WHERE IMMEDIATE MEMORY IS CONCERNED,FINALLY THE ONE PARTY WENT OFF EXULTING AND THE OTHER WAS LEFT IN DESOLATION AND WOE,"The new year has completed three hundred years. The deposit owner brought the food, except for the illegal feeding that has to go on.",False,100,6.039522647857666,0.15000000596046448,0.14959175884723663,stage1,LibriSpeech/test-clean/8230/279154/8230-279154-0017.flac,8230-279154-0017,0.15,stage1,
5,BY QUICK MARCHES THROUGH THESE INACCESSIBLE MOUNTAINS THAT GENERAL FREED HIMSELF FROM THE SUPERIOR FORCES OF THE COVENANTERS,SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS,"The stress is low stress and Z-Bacool is pushed to any texture that's not just moldy, but using your texture to make your surface look more like foam or dry.",False,100,4.320693016052246,0.15000000596046448,0.149507075548172,stage1,LibriSpeech/test-clean/8224/274381/8224-274381-0007.flac,8224-274381-0007,0.15,stage1,
6,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN,THE MODERN ORGANIZATION OF INDUSTRY WORKS IN THE SAME DIRECTION ALSO BY ANOTHER LINE,The,False,100,5.744081020355225,0.15000000596046448,0.14938506484031677,stage1,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,61-70968-0049,0.15,stage1,
7,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT,ISN'T HE SPLENDID CRIED JASPER IN INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT,The NJJ has been told to attempt to further the climb point by the island's sixth-scope erosion at the E.S. Star Trek.,False,100,6.257987976074219,0.15000000596046448,0.14950373768806458,stage1,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,61-70968-0011,0.15,stage1,
8,A LITTLE CRACKED THAT IN THE POPULAR PHRASE WAS MY IMPRESSION OF THE STRANGER WHO NOW MADE HIS APPEARANCE IN THE SUPPER ROOM,HER REGARD SHIFTED TO THE GREEN STALKS AND LEAVES AGAIN AND SHE STARTED TO MOVE AWAY,"with a fresh, soft, and fresh, juicy, crunchy, and creamy, creamy and chewy, and fluffy.",False,100,6.578316688537598,0.15000000596046448,0.14929728209972382,stage1,LibriSpeech/test-clean/5142/36377/5142-36377-0007.flac,5142-36377-0007,0.15,stage1,
9,THE LOG AND THE COMPASS THEREFORE WERE ABLE TO BE CALLED UPON TO DO THE WORK OF THE SEXTANT WHICH HAD BECOME UTTERLY USELESS,WHEN WE WERE OUT IN THE DARKNESS OF THE QUADRANGLE WE AGAIN LOOKED UP AT THE WINDOWS,But raw is a sure thing.,False,100,4.891341686248779,0.15000000596046448,0.14958392083644867,stage1,LibriSpeech/test-clean/5105/28241/5105-28241-0006.flac,5105-28241-0006,0.15,stage1,
